"tweet","time","tweeter","number_of_retweets","number_of_favourites""b'If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira\xe2\x80\xa6 https://t.co/NFxR4gJCei'",2019-11-11 02:25:09,realDonaldTrump,18773,75052
b'RT @GOPLeader: .@RepStefanik just called out Democrats for their lies about Republican support in holding Russia accountable for election m\xe2\x80\xa6',2019-11-21 20:51:09,realDonaldTrump,15475,0
"b""RT @GOPoversight: The American people expect fairness. @RepAdamSchiff's #impeachmentcircus has been anything but fair.\n\nThankfully, this ci\xe2\x80\xa6""",2019-11-21 20:33:08,realDonaldTrump,9417,0
b'RT @Jim_Jordan: 13 conversations that Ambassador Taylor remembered.\n\nBut he didn\xe2\x80\x99t remember Mr. Holmes briefing him about a call that was \xe2\x80\x9c\xe2\x80\xa6',2019-11-21 19:52:33,realDonaldTrump,20626,0
"b""RT @RepDougCollins: When you're trying to overturn 63 million votes and take down a sitting president, you better come up with something mo\xe2\x80\xa6""",2019-11-21 19:52:18,realDonaldTrump,16092,0
b'RT @GOPoversight: Democrats have brought in numerous witnesses to testify about matters completely unrelated to the heart of their impeachm\xe2\x80\xa6',2019-11-21 19:52:14,realDonaldTrump,7906,0
b'RT @RepAndyBiggsAZ: This was an enlightening exchange btw HOLMES &amp; @RepRatcliffe:\n\nHolmes could hear the Ukraine portion of the call btw Tr\xe2\x80\xa6',2019-11-21 19:52:10,realDonaldTrump,10126,0
b'RT @RepMarkMeadows: A notable theme in these hearings: some career officials seem to act as though their job is to decide America\xe2\x80\x99s foreign\xe2\x80\xa6',2019-11-21 17:59:11,realDonaldTrump,18248,0
b'RT @Jim_Jordan: A 40 minute opening statement from a guy who overheard a phone call that was \xe2\x80\x9ca couple minutes.\xe2\x80\x9d\n\nTHIS is the Democrats\xe2\x80\x99 la\xe2\x80\xa6',2019-11-21 17:58:21,realDonaldTrump,31170,0
b'Iran has become so unstable that the regime has shut down their entire Internet System so that the Great Iranian pe\xe2\x80\xa6 https://t.co/I4vU4GBbP3',2019-11-21 17:54:25,realDonaldTrump,25019,84789
"b'Ken Starr, Former Independent Counsel: \xe2\x80\x9cDoes this reach the level of treason, bribery or other high crimes and misd\xe2\x80\xa6 https://t.co/q8Eq3y6IDs'",2019-11-21 15:18:31,realDonaldTrump,17605,64569
"b'I have been watching people making phone calls my entire life. My hearing is, and has been, great. Never have I bee\xe2\x80\xa6 https://t.co/VR26t3fTci'",2019-11-21 14:27:40,realDonaldTrump,24741,114933
b'Read the two Transcripts of Ukrainian calls!',2019-11-21 14:19:31,realDonaldTrump,14936,66930
"b'RT @realDonaldTrump: The Republican Party, and me, had a GREAT day yesterday with respect to the phony Impeachment Hoax, &amp; yet, when I got\xe2\x80\xa6'",2019-11-21 13:34:11,realDonaldTrump,27873,0
b'The Navy will NOT be taking away Warfighter and Navy Seal Eddie Gallagher\xe2\x80\x99s Trident Pin. This case was handled very\xe2\x80\xa6 https://t.co/bnsXBbbApf',2019-11-21 13:30:21,realDonaldTrump,23466,88939
b'\xe2\x80\x9cThe new House Resolution gives Adam Schiff (the most dishonest man in politics) the power unilaterally to release\xe2\x80\xa6 https://t.co/ecrEKSidQl',2019-11-21 13:16:48,realDonaldTrump,13627,46168
"b'Corrupt politician Adam Schiff\xe2\x80\x99s lies are growing by the day. Keep fighting tough, Republicans, you are dealing wit\xe2\x80\xa6 https://t.co/pApmJBCJtk'",2019-11-21 13:15:26,realDonaldTrump,19561,71204
"b'I never in my wildest dreams thought my name would in any way be associated with the ugly word, Impeachment! The ca\xe2\x80\xa6 https://t.co/dmAnTrffL1'",2019-11-21 13:08:33,realDonaldTrump,20514,88479
b'\xe2\x80\x9cFreed Taliban hostages arrive in Germany.\xe2\x80\x9d @foxandfriends  @FoxNews @OANN  We got them back!',2019-11-21 13:03:28,realDonaldTrump,11832,42784
"b'Bob Mueller, after spending two years and 45 million dollars, went over all of my financials, &amp; my taxes, and found\xe2\x80\xa6 https://t.co/o4PI9n5QCM'",2019-11-21 12:58:57,realDonaldTrump,17895,67766
"b'The Republican Party, and me, had a GREAT day yesterday with respect to the phony Impeachment Hoax, &amp; yet, when I g\xe2\x80\xa6 https://t.co/gQBg3cjfLJ'",2019-11-21 12:32:50,realDonaldTrump,27873,117810
"b'During my visit yesterday to Austin, Texas, for the startup of the new Mac Pro, &amp; the discussion of a new one $bill\xe2\x80\xa6 https://t.co/YB27KtIrRL'",2019-11-21 12:31:40,realDonaldTrump,12882,54830
"b'Why do @ShannonBream &amp; @FoxNews waste airtime on Democrat Rep. Eric Swalwell, who recently left the Presidential Pr\xe2\x80\xa6 https://t.co/plriOIZ2lE'",2019-11-21 12:26:31,realDonaldTrump,12517,49573
b'https://t.co/osezECwPO1',2019-11-21 02:47:50,realDonaldTrump,27777,73715
b'Poll: Trump leads top 2020 Democrats in Wisconsin https://t.co/P7z7Si8I0h.',2019-11-21 01:22:51,realDonaldTrump,15372,57951
b'RT @realDonaldTrump: Impeachment Witch Hunt is now OVER! Ambassador Sondland asks U.S. President (me): \xe2\x80\x9cWhat do you want from Ukraine? I ke\xe2\x80\xa6',2019-11-21 01:16:49,realDonaldTrump,25204,0
